filename,extracted_text
IMG_1252.PNG,"[""RAVE LIGHTS: Ui) LumiiUwu\n\nWilliam & lumiilumii.com ?\n\nHow do u guys feel about it?\n\nSonya\n\n12 bucks?\n\nWilliam\n\nyessir\n\nIf we all say yes I'll get it right now\n\nSonya\n\nthat's good isn't that usually base price\n\nWilliam\n\n12$ is good yea, I'm happy to pay a little more but above like 150$ and I'm kinda out lol\n\nAnd Its 12 dollars, I'm willing to waste it if we change later, especially since we are deep in the experimental stage for the company, still trying to figure out the direction""]"
IMG_1253.PNG,['1:39\n\nRAVE LIGHTS (Ui LumiiUwu\n\nYesterday 5:57PM Justin Lee changed the group photo.\n\nSonya\n\n6\n\n«\n\nEdited\n\non\n\nomg justin’s a graphic designer too\n\nWilliam\n\nw\n\nlooks like we got two designers in the company\n\nJustin Lee\n\n@\n\nWilliam\n\nw\n\n@Justin do my nails next.\n\n1 Reply\n\nWilliam\n\nw\n\nAnd how do u feel about lumiilumii.com\n\n1 Reply\n\nJustin Lee\n\now\n\n| like it\n\n>=)\n\n&']
IMG_1254.PNG,['1:39\n\nRAVE LIGHTS (Ui LumiiUwu\n\nYesterday 5:57PM Justin Lee changed the group photo.\n\nSonya\n\n6\n\n«\n\nEdited\n\non\n\nomg justin’s a graphic designer too\n\nWilliam\n\nw\n\nlooks like we got two designers in the company\n\nJustin Lee\n\n@\n\nWilliam\n\nw\n\n@Justin do my nails next.\n\n1 Reply\n\nWilliam\n\nw\n\nAnd how do u feel about lumiilumii.com\n\n1 Reply\n\nJustin Lee\n\now\n\n| like it\n\n>=)\n\n&']
IMG_1255.PNG,"[""1:39\n\nRAVE LIGHTS: (Laat LumiiUwu\n\nWilliam\n\n&\n\nIm buying it\n\n@Justin do my nails next.\n\nJustin Lee\n\nFrench tips?\n\nWilliam\n\nYessir\n\nAnd how do u feel about\n\nJustin Lee\n\n1]\n\nWhat does everyone think\n\nWilliam\n\nhomen and Sonya +1'd it\n\nSonya\n\ni think it’s cute\n\nWilliam\n\nif u got better ideas I'm happy\n\nBut\n\nto\n\n>=)""]"
IMG_1256.PNG,"[""RAVE LIGHTS: (ante) LumiiUwu\n\nWilliam\n\nBut if u got better ideas I'm happy to change\n\nSonya\n\njust thinking how the logo would look tho but that’s another time\n\nWilliam\n\nNo no\n\nThis is good\n\nI'm glad ur thinking about that. Didn't even cross my mind\n\nSonya\n\nhaha i'll be looking for logo inspo in taiwan they have hella cute logos\n\nJustin Lee unsent a message Justin Lee unsent a message\n\nSonya\n\ngonna make it super girly pop &\n\nwhat happened to the second\n\ni\n\nJustin Lee\n\nIt was in the face\n\n&""]"
IMG_1257.PNG,"[""RAVE LIGHTS: (ante) LumiiUwu\n\nJustin Lee\n\nIt was in the face\n\nNvm\n\ntS\n\nIt looks so bad\n\nSonya\n\noh it was so fast i didn’t catch it\n\nit's a good start\n\nhow do we want our company to come across tho\n\nlike modern n sleek\n\nLs]\n\nsimple?\n\nWilliam\n\nChoice 1\n\nChoice 2\n\nChoice 3\n\nChoice 4\n\nChoice 5\n\nLW\n\nAll of the above""]"
IMG_1258.PNG,"['rT\n\n\\ ed\n\n1 Reply\n\nAll of the above\n\nModern sleek and simple | think are all more or less aiming for the same thing right?\n\nmaybe not exactly modern but timeless?\n\nOk | purchased it\n\ntw )\n\nwe wait now\n\nSonya\n\nwhat is this\n\nWilliam\n\nLW\n\nAll of the above\n\n@Sonya especially given the market we exist in, design and appealing to customers in the form of our logos, designs, etc are all integral to capturing the market\n\n& |\n\n&']"
IMG_1259.PNG,"['RAVE LIGHTS: ea LumiiUwu\n\nN\n\nwy\n\nWilliam\n\nComing Soon lumiilumii.com\n\n~ ¢)\n\n1 Reply\n\nits coming :0\n\nN\n\nwy\n\nFor something like an iPhone we expect certain levels of performance.\n\nbut a big part of this market is figuring out things that make people feel good, exhilarated, scared, etc which is why | believed(and reflected in the shares) that having a UI/UX designer is integral out of the gate.\n\nN\n\nwy\n\nComing Soon\n\nJustin Lee\n\nWillam for the website are we building square space. | was thinking about Shopify', 'on\n\nusing\n\nWilliam\n\n+\n\nit\n\n&']"
IMG_1260.PNG,"[""William\n\n©\n\nSonya\n\nJustin Lee\n\nBud wanted to get everybody opinion\n\nBut*\n\nWilliam\n\nI'm not experienced in any\n\n©\n\nWhatever has the features and looks the sleekest\n\nEdited\n\nSonya\n\nwait we not use squarespace HAHAH fkin hate it\n\nshopify is easier to use for shipping out products\n\ni've used merchant before\n\nWilliam\n\nWhat do u prefer Sonya\n\nSonya\n\noff topic but if eventually we want a cafe\n\ni""]"
IMG_1261.PNG,"[""RAVE LIGHTS: (Oa) LumiiUwu\n\nSonya\n\noff topic but if eventually we want a cafe corner portfolio, i can host it on my webflow acc\n\nshopify prolly\n\nWilliam\n\nSonya u wanted to design the shopping website right?\n\nSonya\n\nsure i don’t mind\n\ni'm down to use shopify\n\nbut not sure how much it has changed\n\nWilliam\n\nIt's a two way decision\n\nu\n\nPlay with both and figure out which one like more\n\nWe can go with that for now\n\nOfc ideally think about what's easiest to maintain long term.\n\n| can help with that""]"
